appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
6,Craig and Richeson (2014),original,Education: Less than College,0.04,0.11,0.71,-0.18,0.26,415,0.34
6,Craig and Richeson (2014),original,Education: College,-0.20,0.24,0.41,-0.68,0.28,110,0.09
6,Craig and Richeson (2014),original,Education: Graduate School,0.03,0.28,0.91,-0.53,0.59,83,0.07
6,Craig and Richeson (2014),original,Gender: Male,-0.00,0.15,1.00,-0.29,0.29,296,0.24
6,Craig and Richeson (2014),original,Gender: Female,-0.00,0.12,0.97,-0.25,0.24,312,0.26
6,Craig and Richeson (2014),original,Ideology: Liberal,0.05,0.18,0.78,-0.30,0.40,147,0.12
6,Craig and Richeson (2014),original,Ideology: Moderate,0.12,0.15,0.42,-0.18,0.42,226,0.19
6,Craig and Richeson (2014),original,Ideology: Conservative,-0.20,0.16,0.22,-0.52,0.12,235,0.19
6,Craig and Richeson (2014),mt,Age: 18 - 39,-0.25,0.08,0.00,-0.41,-0.09,524,0.37
6,Craig and Richeson (2014),mt,Age: 40 - 59,-0.13,0.16,0.43,-0.44,0.18,158,0.11
6,Craig and Richeson (2014),mt,Age: More than 60,-0.34,0.43,0.43,-1.23,0.54,27,0.02
6,Craig and Richeson (2014),mt,Party ID: Democrat,-0.29,0.08,0.00,-0.46,-0.13,422,0.30
6,Craig and Richeson (2014),mt,Party ID: Independent,-0.40,0.22,0.08,-0.85,0.05,96,0.07
6,Craig and Richeson (2014),mt,Party ID: Republican,0.10,0.14,0.48,-0.18,0.37,191,0.13
6,Craig and Richeson (2014),mt,Race: White,-0.19,0.08,0.02,-0.35,-0.02,569,0.40
6,Craig and Richeson (2014),mt,Race: Nonwhite,-0.36,0.14,0.01,-0.64,-0.08,140,0.10
6,Craig and Richeson (2014),mt,Education: Less than College,-0.29,0.11,0.01,-0.51,-0.08,344,0.24
6,Craig and Richeson (2014),mt,Education: College,-0.07,0.11,0.51,-0.29,0.14,290,0.20
6,Craig and Richeson (2014),mt,Education: Graduate School,-0.40,0.23,0.09,-0.86,0.06,75,0.05
6,Craig and Richeson (2014),mt,Gender: Male,-0.12,0.10,0.23,-0.33,0.08,331,0.23
6,Craig and Richeson (2014),mt,Gender: Female,-0.30,0.10,0.00,-0.51,-0.10,378,0.27
6,Craig and Richeson (2014),mt,Ideology: Liberal,-0.26,0.09,0.01,-0.44,-0.07,328,0.23
6,Craig and Richeson (2014),mt,Ideology: Moderate,-0.35,0.13,0.01,-0.60,-0.10,216,0.15
6,Craig and Richeson (2014),mt,Ideology: Conservative,0.08,0.16,0.60,-0.23,0.40,165,0.12
7,Denny (2012),original,Age: 18 - 39,0.51,0.27,0.06,-0.02,1.04,99,0.17
7,Denny (2012),original,Age: 40 - 59,0.35,0.20,0.07,-0.04,0.74,163,0.28
7,Denny (2012),original,Age: More than 60,-0.40,0.42,0.34,-1.26,0.45,31,0.05
7,Denny (2012),original,Party ID: Democrat,0.54,0.20,0.01,0.13,0.94,158,0.27
7,Denny (2012),original,Party ID: Independent,-0.45,0.56,0.45,-1.77,0.87,9,0.02
7,Denny (2012),original,Party ID: Republican,0.13,0.23,0.58,-0.33,0.58,126,0.22
7,Denny (2012),original,Race: White,0.04,0.15,0.78,-0.26,0.35,219,0.37
7,Denny (2012),original,Race: Nonwhite,1.04,0.29,0.00,0.47,1.62,74,0.13
7,Denny (2012),original,Education: Less than College,0.26,0.19,0.18,-0.12,0.64,175,0.30
7,Denny (2012),original,Education: College,0.75,0.31,0.02,0.13,1.37,72,0.12
7,Denny (2012),original,Education: Graduate School,0.12,0.32,0.72,-0.53,0.77,46,0.08
7,Denny (2012),original,Gender: Male,0.24,0.23,0.31,-0.22,0.70,146,0.25
7,Denny (2012),original,Gender: Female,0.49,0.19,0.01,0.11,0.87,147,0.25
7,Denny (2012),original,Ideology: Liberal,0.79,0.29,0.01,0.22,1.37,85,0.15
7,Denny (2012),original,Ideology: Moderate,-0.04,0.24,0.88,-0.51,0.44,110,0.19
7,Denny (2012),original,Ideology: Conservative,0.34,0.24,0.16,-0.13,0.81,98,0.17
7,Denny (2012),mt,Age: 18 - 39,0.09,0.12,0.46,-0.14,0.32,237,0.39
7,Denny (2012),mt,Age: 40 - 59,0.18,0.27,0.50,-0.36,0.72,53,0.09
7,Denny (2012),mt,Age: More than 60,-0.56,0.62,0.39,-1.96,0.84,11,0.02
7,Denny (2012),mt,Party ID: Democrat,0.08,0.14,0.56,-0.19,0.35,181,0.30
7,Denny (2012),mt,Party ID: Independent,-0.20,0.31,0.52,-0.83,0.42,40,0.07
7,Denny (2012),mt,Party ID: Republican,0.17,0.20,0.40,-0.23,0.58,80,0.13
7,Denny (2012),mt,Race: White,0.01,0.12,0.96,-0.23,0.24,236,0.39
7,Denny (2012),mt,Race: Nonwhite,0.31,0.24,0.20,-0.17,0.79,65,0.11
7,Denny (2012),mt,Education: Less than College,0.13,0.15,0.38,-0.16,0.42,157,0.26
7,Denny (2012),mt,Education: College,0.13,0.16,0.42,-0.19,0.46,119,0.20
7,Denny (2012),mt,Education: Graduate School,-0.27,0.39,0.48,-1.07,0.52,25,0.04
7,Denny (2012),mt,Gender: Male,-0.11,0.14,0.44,-0.40,0.17,156,0.26
7,Denny (2012),mt,Gender: Female,0.27,0.15,0.08,-0.04,0.57,145,0.24
7,Denny (2012),mt,Ideology: Liberal,0.14,0.14,0.32,-0.14,0.43,154,0.26
7,Denny (2012),mt,Ideology: Moderate,-0.13,0.23,0.59,-0.58,0.33,81,0.13
