study_label,group_label,difference,estimate_mt,conf.low_mt,conf.high_mt,estimate_original,conf.low_original,conf.high_original
Hopkins and Mummolo (2017),Liberal,Not Significant,-0.18240882798126856,-0.2711561492242099,-0.09366150673832724,-0.08696289226146056,-0.23575402905940865,0.06182824453648752
Hopkins and Mummolo (2017),Moderate,Not Significant,-0.2107782712159564,-0.3424762204139903,-0.0790803220179225,-0.22130868901359188,-0.35514637489137857,-0.08747100313580522
Hopkins and Mummolo (2017),Democrat,Not Significant,-0.16432287983477886,-0.24615297916673903,-0.08249278050281866,-0.21245082840615653,-0.3204299410155611,-0.10447171579675192
Hopkins and Mummolo (2017),Independent,Not Significant,-0.33346279038708054,-0.5558492962817615,-0.11107628449239962,-0.12993738832484064,-0.5715320886827588,0.31165731203307756
Hopkins and Mummolo (2017),Republican,Not Significant,-0.20357767124354004,-0.35615312238489455,-0.05100222010218552,-0.07794460469637604,-0.21568925813833817,0.05980004874558606
Hopkins and Mummolo (2017),Nonwhite,Not Significant,-0.2312960476993472,-0.3780242162056232,-0.08456787919307124,-0.15716861810135763,-0.3148043730266008,4.6713682388552225e-4
Hopkins and Mummolo (2017),White,Not Significant,-0.21080370491194256,-0.2968453389325245,-0.12476207089136064,-0.16471509298337622,-0.2673389674223756,-0.06209121854437682
Hiscox (2006),Age: 18 - 39,Not Significant,0.268649722934217,0.1945083149765405,0.3427911308918935,0.35742511729874143,0.17263887686060278,0.5422113577368801
Hiscox (2006),Age: 40 - 59,Not Significant,0.24753280842914796,0.12771951570148665,0.36734610115680927,0.14048217249533207,-0.04009528656158762,0.32105963155225176
Hiscox (2006),Age: More than 60,Not Significant,0.18765220883686953,-0.03787939318189692,0.413183810855636,0.2130160913870752,-0.01319963182080347,0.43923181459495386
Hiscox (2006),College,Not Significant,0.22111890619707847,0.12032630216265978,0.32191151023149717,0.2689804738621389,0.05899886634579082,0.478962081378487
Hiscox (2006),Graduate School,Not Significant,0.201532140994732,0.04807583431849094,0.3549884476709731,-0.02987465767997344,-0.3263135735493316,0.26656425818938473
Hiscox (2006),Less than College,Not Significant,0.2877111073201596,0.20010085861445165,0.3753213560258675,0.25458157614590077,0.11281168753932284,0.39635146475247873
Hiscox (2006),Men,Not Significant,0.21168287773232244,0.13068753217538312,0.29267822328926174,0.12869508442679342,-0.0407625161807032,0.29815268503429004
Hiscox (2006),Women,Not Significant,0.30394190960078477,0.21442164330309452,0.393462175898475,0.298472175601516,0.15089227043120995,0.44605208077182207
Hiscox (2006),Conservative,Not Significant,0.31686601936106096,0.17377731680677572,0.4599547219153462,0.12933990608692836,-0.09254639992148787,0.3512262120953446
Hiscox (2006),Liberal,Not Significant,0.21421016869790996,0.1298528188542722,0.2985675185415477,0.2059790880752316,-0.0566422866306715,0.46860046278113465
Hiscox (2006),Moderate,Not Significant,0.2775785195992172,0.16732274587541968,0.3878342933230147,0.27851858396059403,0.13001581193234552,0.42702135598884255
Hiscox (2006),Democrat,Not Significant,0.2240190485814971,0.1489770998752683,0.2990609972877259,0.16870782431050202,-0.00396179133826921,0.3413774399592733
Hiscox (2006),Independent,Not Significant,0.3318142651680416,0.16630876054965388,0.4973197697864293,0.32201342747567235,0.05544795086026039,0.5885789040910843
Hiscox (2006),Republican,Not Significant,0.2952506627257372,0.16587810024000643,0.42462322521146795,0.2652691848494377,0.08879817329179301,0.44174019640708234
Hiscox (2006),Nonwhite,Not Significant,0.2092349829456868,0.09550858358422196,0.32296138230715166,0.12575532365559983,-0.10547222396230374,0.3569828712735035
Hiscox (2006),White,Not Significant,0.2720199825971283,0.20062659379883865,0.34341337139541794,0.26456834948108265,0.13698416033772084,0.3921525386244445
Gash and Murakami (2009),Age: 18 - 39,Not Significant,-0.7147390474321152,-0.8331199706577316,-0.5963581242064989,-0.728127723273936,-1.1608015186970893,-0.29545392785078284
Gash and Murakami (2009),Age: 40 - 59,Not Significant,-0.504141861305983,-0.7465748826088291,-0.261708840003137,-0.5052635159561721,-0.8593441275482507,-0.1511829043640936
Gash and Murakami (2009),Age: More than 60,Not Significant,-0.6988230580618787,-1.219000081455118,-0.1786460346686395,-0.9221215514830516,-1.3267955230704236,-0.5174475798956797
Gash and Murakami (2009),College,Not Significant,-0.6184726470516064,-0.7881281416706335,-0.44881715243257936,-0.4111495081646632,-0.8530546437716438,0.03075562744231735
Gash and Murakami (2009),Graduate School,Not Significant,-0.420364828029559,-0.7525380686808589,-0.0881915873782591,-0.09771118685713556,-0.8129869761124314,0.6175646023981604
Gash and Murakami (2009),Less than College,Not Significant,-0.7538333862398021,-0.8979645661892987,-0.6097022062903056,-0.8364441593677626,-1.115014169698561,-0.5578741490369643
Gash and Murakami (2009),Men,Not Significant,-0.7236612785607498,-0.8685817834872596,-0.57874077363424,-0.6380909477333788,-0.9549125876117924,-0.3212693078549652
Gash and Murakami (2009),Women,Not Significant,-0.6283821614666484,-0.7775280748787445,-0.4792362480545522,-0.7402838557944853,-1.0834716707577918,-0.3970960408311787
Gash and Murakami (2009),Conservative,Not Significant,-0.642807874936033,-0.8564003007495019,-0.429215449122564,-0.5724697162111965,-0.9666346482050814,-0.1783047842173116
Gash and Murakami (2009),Liberal,Not Significant,-0.7183077296211158,-0.8559415331407163,-0.5806739261015152,-0.6151096496643601,-1.083850319890194,-0.14636897943852606
Gash and Murakami (2009),Moderate,Not Significant,-0.6379000786711879,-0.8644923606703669,-0.4113077966720089,-0.8565660878115634,-1.2227232303516946,-0.49040894527143214
Gash and Murakami (2009),Democrat,Not Significant,-0.6520128392979373,-0.7810238113453623,-0.5230018672505123,-0.8916203624391269,-1.1843518207206558,-0.5988889041575981
Gash and Murakami (2009),Independent,Not Significant,-1.0335583694038424,-1.3476850739812671,-0.7194316648264175,-1.6166180360153442,-2.7074774207996395,-0.5257586512310488
Gash and Murakami (2009),Republican,Not Significant,-0.6065501646777774,-0.8091492855857189,-0.403951043769836,-0.38354684386750904,-0.7738446830148303,0.00675099527981226
Gash and Murakami (2009),Nonwhite,Not Significant,-0.626168651454978,-0.8341269321637157,-0.41821037074624035,-0.8221342222718434,-1.3415695958703235,-0.30269884867336316
