appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop,n_deposit_formula,prop_deposit_formula
5,Chong and Druckman (2010),original,Race: White,0.7882172970059628,0.0723823471698196,1.3033689639842563e-25,0.6461037257423338,0.9303308682695918,699,0.7296450939457203,699,0.36482254697286015
5,Chong and Druckman (2010),original,Race: Nonwhite,0.8500378784405384,0.11723073969171896,4.857058136821432e-12,0.6191827101283958,1.080893046752681,259,0.27035490605427975,259,0.13517745302713988
5,Chong and Druckman (2010),original,Education: Less than College,0.8057604693891356,0.07968874004106347,4.402552117880577e-22,0.6492131966738024,0.9623077421044688,528,0.5511482254697286,528,0.2755741127348643
5,Chong and Druckman (2010),original,Education: College,0.8158150074190756,0.1186540979102281,4.0426298017114385e-11,0.5822440447050071,1.0493859701331445,281,0.29331941544885176,281,0.14665970772442588
5,Chong and Druckman (2010),original,Education: Graduate School,0.801241029796345,0.16689466454905816,3.8485473687373815e-6,0.47141823463758525,1.1310638249551048,149,0.15553235908141963,149,0.07776617954070981
5,Chong and Druckman (2010),original,Gender: Male,0.728006974472863,0.09021981468615226,5.434868283712705e-15,0.5507442078021647,0.9052697411435612,495,0.5167014613778705,495,0.25835073068893527
5,Chong and Druckman (2010),original,Gender: Female,0.8783377401702857,0.0833692808473843,2.117866079917459e-23,0.7145068308529909,1.0421686494875804,463,0.48329853862212946,463,0.24164926931106473
5,Chong and Druckman (2010),mt,Age: 18 - 39,0.5351681602469545,0.06135829419089467,1.0485416623605247e-17,0.41476985639440056,0.6555664640995084,1056,0.7542857142857143,1056,0.37714285714285717
5,Chong and Druckman (2010),mt,Age: 40 - 59,0.738846767048236,0.12235729319533664,4.655539288892447e-9,0.49804630144580175,0.9796472326506704,298,0.21285714285714286,298,0.10642857142857143
5,Chong and Druckman (2010),mt,Age: More than 60,1.186284970828547,0.30628219939030427,3.529473791157879e-4,0.5690137575480082,1.8035561841090857,46,0.032857142857142856,46,0.016428571428571428
5,Chong and Druckman (2010),mt,Party ID: Democrat,0.5555527613205481,0.06987772847807369,6.235406024887577e-15,0.4183899762426764,0.6927155463984198,812,0.58,812,0.29
5,Chong and Druckman (2010),mt,Party ID: Independent,0.6087872314807566,0.12084952835644168,8.791033804167684e-7,0.37082729358633454,0.8467471693751787,264,0.18857142857142858,264,0.09428571428571429
